,R2_train,R2_test,RMSE,RMSLE
LinRegM1,0.8062386884181659,0.8062386884181659,262.3054225839597,3.1489362688705955
LinRegM1b,0.8063357052293839,0.8063357052293839,262.3049695348988,3.1489682458412047
LinRegM2,0.8076964880392206,0.8076964880392206,262.3042491284425,3.148391018028354
PoisRegPoly,0.0,0.0,262.95066268109133,3.2151097899407
PoisReg_M1,0.3319010982709264,0.3319010982709264,262.6932727213375,3.191024610752198
RF_10,0.8438910211668131,0.8438910211668131,262.38321150578867,3.144320723963199
RF_15,0.9249187652893911,0.9249187652893911,262.2825342555777,3.1396731323297433
RF_15,0.9249187652893911,0.9249187652893911,262.2825342555777,3.1396731323297433
RF_10_poly,0.8455451101074689,0.8455451101074689,262.38351427396253,3.144383637058642
RF_15_poly,0.9262049458439154,0.9262049458439154,262.28442341430383,3.1399228944270465
RF_20_poly,0.9617129047889337,0.9617129047889337,262.245764733932,3.1393051095879034
RF_CB,0.9611310718743683,0.9611310718743683,262.24218723046147,3.1388684380565053
PoisReg_CB,0.3320414630854772,0.3320414630854772,262.69341876821693,3.19102356410071
LinReg_CB,0.8073192434464606,0.8073192434464606,262.3051402370977,3.1487053210350733
RF_CB_poly,0.9617571117684969,0.9617571117684969,262.24595340443693,3.1393224460026388
LinReg_CB_poly,0.8077485545350103,0.8077485545350103,262.30433552666636,3.1484266795865885
PoisReg_CB_poly,0.0,0.0,262.95066268109133,3.2151097899407
